Soube que meu colega possui empréstimo parcelado com a empresa e queria entender por que precisei pagar meu empréstimo de uma só vez?,Nos dias atuais a empresa não possui essa prática.
Gostaria de apoio da MAGNASISTEMAS para pagamento do meu curso de inglês. Como devo proceder.,Nossa empresa já possui parcerias com instituições de ensino e escolas de cursos de idiomas onde há boas condições de desconto para os colaboradores. A aplicação  (...)
Meu esposo e eu trabalhamos na MAGNASISTEMAS e a convenção local prevê o benefício de Auxílio Creche. Os dois teremos direito?,Quando ambos os cônjuges forem funcionários o pagamento do benefício não é cumulativo.
O subsídio que recebo para pagamento do meu curso de pós-graduação será incorporado ao meu salário após a conclusão do curso?,Não. Subsídio para cursos não fazem parte de salários nominais trata-se de um investimento específico destinado ao apoio monetário (...)
Quando ocorre o pagamento salarial aos colaboradores?,O pagamento é feito todo dia 30 de cada mês e equivalentes à 60% da remuneração e descontos previstos. No dia 15 de cada mês há o adiantamento salarial que equivalente à 40% do salário nominal.
Já assinei três advertências em virtudes de atrasos. Posso ser mandado embora?,A empresa firmou um contrato de trabalho com você que precisa ser respeitado e qualquer situação contrataria às diretrizes estabelecidas podem configurar em desligamento.
É verdade que no meu casamento tenho direito a 05 (cinco) dias de folga?,É concedido ao funcionário 05 (cinco) dias uteis consecutivos de ausência sem prejuízos incluindo o dia do casamento mediante comprovação.
Por que um reembolso é negado se comprovado todos os dados?,A reprovação ocorre quando identificada eventual pendência de documentos ou quando é identificado solicitação fora da Política e processos.
Em quais situações existe o desligamento por justa causa?,A empresa toma essa medida de maneira fundamentada ocorre todas as vezes que comprovadamente identifique situações que infrinjam a legislação em vigor as políticas corporativas ou os protocolos da c (...)
Os banheiros do andar onde trabalho normalmente estão sujos e gostaria de registrar uma reclamação. Como faço?,Nossos colaboradores que atuam na estrutura do cliente (alocados em projetos) precisam seguir as diretrizes e processos determinados pelo cliente (...)
Estou com dúvidas sobre as condições de reembolso do nosso plano médico,Conforme a opção de plano (Básico ou Pleno II) há orientações específicas. Acione o Departamento Pessoal.
Tenho interesse no benefício odontológico mas não optei na admissão. É possível aderir depois de dois anos de empresa?,Sim. Para aderir ao benefício acione o Departamento Pessoal que poderá lhe orientar sobre as condições.
Cancelei meu plano médico ano passado. Como faço para reativar?,Na admissão o colaborador pode aderir à opção de plano médico mas uma vez cancelado o benefício não é permitido reincluir.
Assim que peço a demissão devo entregar meu crachá ao Departamento Pessoal?,Uma vez efetivado o processo de desligamento seja por iniciativa do funcionário ou da empresa é obrigatório a entrega de todos os materiais utilizados pelo ex-funcionário (crachá d (...)
Fui alocado em um cliente da empresa que fica muito distante da sede. Como faço para tirar dúvidas sobre minha carreira e crescimento profissional?,Embora esteja alocado em um cliente você pode acionar o seu gestor e agendar com ele uma conversa sobre seu  (...)
Posso definir quando desejo sair de férias?a partir de 12 meses trabalhados já existe o direto às férias que precisa ser solicitada pelo colaborador e aprovada pelo gestor.
Como faço para saber o valor de pagamento que receberei nas minhas férias?,Após a  (...)
Tenho um colega da área de TI para indicar à empresa mas ele possui uma deficiência motora. Ele pode ser admitido?,Profissionais talentosos e com predisposição ao trabalho são bem-vindos. Toda indicação é tratada como os demais candidatos sendo submetidos  (...)
Sempre achei que deveria receber reembolso sobre o custo de estacionamento. Me sinto prejudicado.,A Política de Reembolso prevê aplicar o pagamento de despesas relacionadas a gastos extraordinários quando o profissional está a trabalho.
Quem pode solicitar os reembolsos?,Todos os colaboradores da companhia que se enquadrarem em qualquer situação apontada na Política de Reembolso.
Estou fazendo um curso na faculdade e preciso sair todos os dias uma hora antes do expediente regular de trabalho. Algum problema?,Todo funcionário precisa seguir rigorosamente seus horários contratados. Qualquer situação fora da regra requer prévia aprova (...)
